00000000060E0000 000000008080E000 7050000000000000 0808080C00000000 0404060200000000 0000006060600000 0000301018000000 8080C08000000000 
00000000060E0000 000000008080E000 0C040C0000000000 0000404040600000 7018000000000000 0000303030000000 0000020E08000000 80C0808000000000 
00000000060E0000 000000008080E000 0000302030000000 3C04000000000000 00180E0000000000 C0C0C00000000000 000000C040600000 0000001E08000000 
00000000060E0000 008080E000000000 0C040C0000000000 00000010F0000000 0018700000000000 0000000000E0E000 0000020E08000000 F040000000000000 
00000000060E0000 8080E00000000000 0000000060206000 7840000000000000 0000007018000000 00000E0E00000000 041C100000000000 0000008080C08000 
00000000060E0000 0000701010000000 0C040C0000000000 0000006020202000 7018000000000000 00000000C0C0C000 0000020E08000000 80C0808000000000 
00000060E0000000 00000002020E0000 000000141C000000 0000780800000000 7018000000000000 0000000000E0E000 0C04060000000000 80C0808000000000 
0000183800000000 000000008080E000 0000000038280000 0000604040400000 7018000000000000 0000000606060000 0C04060000000000 80C0808000000000 
0000000000C0E000 00000002020E0000 0018081800000000 3C04000000000000 000030E000000000 C0C0C00000000000 000006040C000000 00000000F0200000 
0000000000C0E000 00000002020E0000 3010300000000000 000000F080000000 0008080C04000000 C0C0C00000000000 0C04060000000000 0000000078200000 
0000000000C0E000 00000002020E0000 3010300000000000 0C08080800000000 0000007018000000 C0C0C00000000000 00000080E0200000 0004060404000000 
000000000C0E0000 8080E00000000000 7050000000000000 000000C080808000 0004060202000000 0000000060606000 0C08180000000000 0000003C10000000 
0000003038000000 000000008080E000 0000000C040C0000 0000060202020000 000C380000000000 C0C0C00000000000 000000C040600000 3C10000000000000 
000000C0E0000000 8080E00000000000 0000060206000000 7840000000000000 00000000180E0000 0000000000E0E000 041C100000000000 0000083C00000000 
0000303800000000 000000008080E000 0000000602060000 3C04000000000000 00180E0000000000 C0C0C00000000000 000000C040600000 000000003C080000 
00181C0000000000 008080E000000000 0000000C080C0000 3C04000000000000 0000001030202000 00000000C0C0C000 C040600000000000 0000020206020000 
000000E0C0000000 8080E00000000000 0000000602060000 7840000000000000 00000E1800000000 0000000000E0E000 041C100000000000 000000003C080000 
E0C0000000000000 00000002020E0000 0000000000A0E000 1810101000000000 040C080800000000 0000E0E000000000 000006040C000000 00000000F0400000 
E0C0000000000000 00000002020E0000 000000141C000000 000000C080808000 1018080800000000 0000000060606000 0C04060000000000 0000F02000000000 
E0C0000000000000 00000002020E0000 0000E0A000000000 1810101000000000 040C080800000000 0000000000E0E000 000006040C000000 00000040F0000000 
E0C0000000000000 00000002020E0000 1C14000000000000 000000C080808000 0008081810000000 0000000060606000 000006040C000000 0000F02000000000 
E0C0000000000000 1C04040000000000 0000000000A0E000 0000020202060000 00008080C0400000 0000707000000000 0018080C00000000 000000003C080000 
E0C0000000000000 0000E08080000000 0000000C080C0000 1010103000000000 0000004040C08000 0C0C0C0000000000 0000000030206000 0000020206020000 
E0C0000000000000 1C10100000000000 0000000000A0E000 0000020202060000 000004040C080000 0000E0E000000000 000C081800000000 00000000F0400000 
E0C0000000000000 1C10100000000000 0000E0A000000000 0000020202060000 000004040C080000 0000000000E0E000 000C081800000000 00000040F0000000 
00000040C0C00000 000000002020E000 0000283800000000 7840000000000000 00000000180E0000 0000060606000000 041C100000000000 8080C08000000000 
0000020606000000 00000008080E0000 0C040C0000000000 808080C000000000 7018000000000000 0000000000E0E000 0040701000000000 00000020F0000000 
0000020606000000 00000008080E0000 0C040C0000000000 808080C000000000 7018000000000000 00000000C0C0C000 0040701000000000 0000002030202000 
0000000080C0C000 0008080E00000000 3010300000000000 C080808000000000 0000001030202000 000000000E0E0000 0C04060000000000 0040406040000000 
0000000080C0C000 00000E0202000000 6040600000000000 808080C000000000 00000000180E0000 1C1C000000000000 0000101C04000000 0000002060202000 
0000000080C0C000 00000E0202000000 6040600000000000 808080C000000000 0000101018080000 1C1C000000000000 0000000C04060000 0000002060202000 
0000000080C0C000 1C10100000000000 6040600000000000 808080C000000000 00000000180E0000 0000060606000000 000C081800000000 0000002060202000 
0000000080C0C000 E080800000000000 1C14000000000000 0000060202020000 0000001030202000 0000000C0C0C0000 0008382000000000 004040C040000000 
000000080C0C0000 E080800000000000 0000000000A0E000 00003C2000000000 004040C080000000 1C1C000000000000 0000001070400000 0000020602020000 
0000004060600000 000000008080E000 0000283800000000 7840000000000000 00000000180E0000 0000060606000000 041C100000000000 8080C08000000000 
000080C0C0000000 0008083800000000 0000000602060000 F010000000000000 00C0700000000000 0000000000E0E000 0C04060000000000 000000003C080000 
000000C0C0400000 0000001C04040000 0000000000A0E000 0000060202020000 000C380000000000 C0C0C00000000000 0000002038080000 3C10000000000000 
0C0C040000000000 000000002020E000 00000A0E00000000 F080000000000000 0040C08080000000 000000000E0E0000 0000006040C00000 0010301010000000 
00000000C0C08000 00000002020E0000 6040600000000000 808080C000000000 000000380C000000 1C1C000000000000 0000000030206000 00001E0400000000 
00000000C0C08000 00000002020E0000 6040600000000000 808080C000000000 000000380C000000 1818180000000000 0000000030206000 0404060400000000 
00000000C0C08000 008080E000000000 0C040C0000000000 0000021E00000000 0018700000000000 000000000E0E0000 0000000030206000 F040000000000000 
0000000C0C080000 008080E000000000 00141C0000000000 0000020202060000 0000001030202000 00000000C0C0C000 C040600000000000 3C08000000000000 
0000006060400000 0008080E00000000 0000000000A0E000 F080000000000000 0040C08080000000 000000000E0E0000 0C04060000000000 0010301010000000 
0C0C080000000000 00000002020E0000 7050000000000000 808080C000000000 0000701800000000 0000000000E0E000 000006040C000000 00000020F0000000 
0C0C080000000000 00000002020E0000 7050000000000000 808080C000000000 0000701800000000 00000000C0C0C000 000006040C000000 0000002030202000 
0C0C080000000000 00000002020E0000 00C080C000000000 F010000000000000 0000701800000000 0000000000E0E000 000006040C000000 00000020F0000000 
0C0C080000000000 00000002020E0000 00C080C000000000 F010000000000000 0000701800000000 00000000C0C0C000 000006040C000000 0000002030202000 
0C0C080000000000 000000008080E000 3010300000000000 0000043C00000000 00000000380C0000 C0C0C00000000000 000000C040600000 0000020206020000 
0C0C080000000000 0010101C00000000 0000060206000000 000000C080808000 00000000180E0000 0000000060606000 0080E02000000000 F040000000000000 
0C0C080000000000 7010100000000000 0000060206000000 0000003C20000000 00000000180E0000 0000000000E0E000 00006040C0000000 80C0808000000000 
C0C0800000000000 00000002020E0000 0018081800000000 3C04000000000000 000070C000000000 0000000000E0E000 000006040C000000 00000020F0000000 
C0C0800000000000 00000002020E0000 0018081800000000 3C04000000000000 000070C000000000 00000000C0C0C000 000006040C000000 0000002030202000 
C0C0800000000000 0008083800000000 0000000060206000 3C04000000000000 00000000180E0000 0000060606000000 0010704000000000 0000008080C08000 
C0C0800000000000 0008080E00000000 3010300000000000 000000808080C000 0000001030202000 000000000E0E0000 0C04060000000000 0000406040400000 
