0C1C000000000000 0000101070000000 000000C080C00000 0000020202060000 000000000030E000 00000C0C0C000000 0080E02000000000 F040000000000000 
0000000000C0E000 008080E000000000 00141C0000000000 0000020202060000 00000000E0300000 0000001C1C000000 C040600000000000 3C08000000000000 
0000000000C0E000 8080E00000000000 7050000000000000 000000F010000000 00000000E0300000 0000000606060000 0C04060000000000 0008180808000000 
0000000060700000 000000008080E000 000C080C00000000 0000060202020000 000030E000000000 C0C0C00000000000 000000101C040000 3C10000000000000 
0000003038000000 8080E00000000000 7050000000000000 0000020202060000 000000000030E000 000000C0C0C00000 0C08180000000000 0004040C04000000 
000000C0E0000000 8080E00000000000 000000001C140000 7840000000000000 00000C3800000000 0000000000E0E000 041C100000000000 0000020602020000 
000000C0E0000000 8080E00000000000 000000001C140000 7840000000000000 04040C0800000000 0000000000E0E000 0018103000000000 0000020602020000 
0000303800000000 000000008080E000 0000000602060000 3C04000000000000 00180E0000000000 C0C0C00000000000 000000C040600000 000000003C100000 
000000000E060000 000000008080E000 00141C0000000000 0000021E00000000 0000202030100000 C0C0C00000000000 000000C040600000 3C08000000000000 
0000001C0C000000 000000008080E000 00141C0000000000 0000020202060000 0000202030100000 C0C0C00000000000 000000C040600000 3C08000000000000 
000000E060000000 000000008080E000 0018081800000000 0080F00000000000 0000000018700000 0000000606060000 0C04060000000000 F040000000000000 
000000E060000000 000000008080E000 0018081800000000 F080000000000000 0000000018700000 0000000606060000 0C04060000000000 0040F00000000000 
3818000000000000 000000008080E000 000000001C140000 C080808000000000 04040C0800000000 0000006060600000 0040701000000000 0000020602020000 
0000000000706000 0000202038000000 7050000000000000 0000020202060000 00000040C0808000 0C0C0C0000000000 0000101C04000000 8080C08000000000 
0000000000706000 0000202038000000 7050000000000000 0000020202060000 8080C04000000000 0C0C0C0000000000 0000101C04000000 00000080C0808000 
0000000000706000 8080E00000000000 7050000000000000 0000020202060000 0000006038000000 0C0C0C0000000000 0000101C04000000 00000080C0808000 
0000000000706000 00000000E0808000 000C080C00000000 0000060202020000 000030E000000000 C0C0C00000000000 000000101C040000 3C10000000000000 
0000000038300000 000000008080E000 7050000000000000 0000020202060000 0000206040400000 0C0C0C0000000000 0000101C04000000 8080C08000000000 
00000000E0C00000 008080E000000000 00141C0000000000 0000020202060000 000000000030E000 0000001C1C000000 C040600000000000 3C08000000000000 
