000000000C1C0000 8080E00000000000 7050000000000000 000000C080808000 0004060202000000 0000000060606000 0C08180000000000 0000003C10000000 
0000000018380000 0004041C00000000 0000000060406000 000000C080808000 0000020206040000 C0C0C00000000000 0008382000000000 3C10000000000000 
0000000018380000 0010101C00000000 0000000060406000 000000C080808000 0000020206040000 0C0C0C0000000000 0080E02000000000 F040000000000000 
0000000018380000 0000001C04040000 0000000060406000 000000C080808000 0004060202000000 C0C0C00000000000 0008382000000000 3C10000000000000 
0000000C1C000000 8080E00000000000 7050000000000000 00000000003C2000 0004060202000000 00000000C0C0C000 0C08180000000000 000000F020000000 
00000060E0000000 00000004041C0000 7050000000000000 0C08080800000000 0004060202000000 0000000000E0E000 0000301018000000 8080C08000000000 
0018380000000000 000000008080E000 0000060206000000 3C04000000000000 00000000301C0000 C0C0C00000000000 000000C040600000 0000003C08000000 
0C1C000000000000 0000101070000000 000000C080C00000 00000808080C0000 000000000030E000 0000060606000000 0080E02000000000 F040000000000000 
0C1C000000000000 7040400000000000 00000000C080C000 808080C000000000 00000000061C0000 00000E0E00000000 0000301018000000 0000002020602000 
0000000000C0E000 00002020E0000000 0000001C14000000 F010000000000000 0004060202000000 00C0C0C000000000 0C08180000000000 00000000083C0000 
0000000000C0E000 0008080E00000000 3010300000000000 000000F080000000 00000000061C0000 C0C0C00000000000 0C04060000000000 0000000078200000 
0000000000C0E000 0008080E00000000 3010300000000000 000000F080000000 0000000060380000 C0C0C00000000000 0C04060000000000 000000001E040000 
0000000000C0E000 0040407000000000 3010300000000000 C080808000000000 00000000061C0000 0C0C0C0000000000 0000020E08000000 00000000F0200000 
0000000000C0E000 0040407000000000 3010300000000000 C080808000000000 0000020206040000 0C0C0C0000000000 0000000C08180000 00000000F0200000 
0000000000C0E000 8080E00000000000 7050000000000000 000010F000000000 00000000061C0000 0C0C0C0000000000 0000020E08000000 00000000F0200000 
0000000000C0E000 8080E00000000000 7050000000000000 000010F000000000 0000020206040000 0C0C0C0000000000 0000000C08180000 00000000F0200000 
00000000181C0000 000000008080E000 0000060206000000 0000003C20000000 000C380000000000 C0C0C00000000000 000000C040600000 3C10000000000000 
000000C0E0000000 8080E00000000000 7050000000000000 0C04040400000000 0000020206040000 0000000000E0E000 0000003010180000 0008180808000000 
000C0E0000000000 000000008080E000 0000000E0A000000 00000000043C0000 000030E000000000 C0C0C00000000000 0000001070400000 3C10000000000000 
000C0E0000000000 000000008080E000 0000006040600000 C080808000000000 00000000301C0000 0000000E0E000000 0040701000000000 3C10000000000000 
