000000000060E000 7040400000000000 00000000141C0000 808080C000000000 0010101808000000 0C0C0C0000000000 00000020E0800000 0000020602020000 
00000000060E0000 0008080E00000000 000000C080C00000 3010101000000000 000000000030E000 C0C0C00000000000 0C04060000000000 0000002078000000 
00000000060E0000 0010101C00000000 000000C080C00000 3C04000000000000 000000000030E000 C0C0C00000000000 00080E0200000000 0000002078000000 
000000000C1C0000 0000000E02020000 7050000000000000 0000006020202000 0008181010000000 00000000C0C0C000 0C04060000000000 8080C08000000000 
000000000C1C0000 0000000E02020000 00000000C080C000 F010000000000000 0008181010000000 00C0C0C000000000 0C04060000000000 0000002020602000 
0000000030700000 000000008080E000 7050000000000000 0808080C00000000 0404060200000000 000000000E0E0000 0000107040000000 8080C08000000000 
0000000000C0E000 000002020E000000 7050000000000000 00000000101E0000 8080C04000000000 0C0C0C0000000000 00000080E0200000 0000103C00000000 
0000000000C0E000 000002020E000000 000C040C00000000 00000000101E0000 0000187000000000 C0C0C00000000000 00000080E0200000 3C10000000000000 
0000000000C0E000 7040400000000000 0000000602060000 808080C000000000 000000000C380000 0018181800000000 0C04060000000000 00000020F0000000 
000000000C0E0000 0000001C10100000 7050000000000000 0000006020202000 0004060202000000 00000000C0C0C000 0C08180000000000 8080C08000000000 
000000000C0E0000 0000001C10100000 00000000C080C000 F010000000000000 0004060202000000 00C0C0C000000000 0C08180000000000 0000002020602000 
00181C0000000000 000000E080800000 0000000C080C0000 3C04000000000000 000000000030E000 C0C0C00000000000 0000001070400000 0000020206020000 
00181C0000000000 000000E080800000 0000000C080C0000 3C04000000000000 0000001010302000 C0C0C00000000000 000000006040C000 0000020206020000 
000000000E060000 0008080E00000000 00000000C080C000 3010101000000000 000000E030000000 C0C0C00000000000 0C04060000000000 0000000000782000 
000000000E060000 0010101C00000000 00000000C080C000 3C04000000000000 000000E030000000 C0C0C00000000000 00080E0200000000 0000000000782000 
0000000038180000 000000008080E000 0000006040600000 7840000000000000 00000E1800000000 0000000606060000 041C100000000000 8080C08000000000 
0000001C0C000000 000000008080E000 7050000000000000 00000000101E0000 0004060202000000 0000006060600000 0C08180000000000 8080C08000000000 
000000001C180000 000000008080E000 0000000602060000 7840000000000000 00000E1800000000 0000006060600000 041C100000000000 8080C08000000000 
0000000070600000 000000008080E000 0000507000000000 0000080808180000 7018000000000000 0000000606060000 0C04060000000000 80C0808000000000 
