00000000060E0000 000000008080E000 0C040C0000000000 0000604040400000 7018000000000000 0000003030300000 0000020E08000000 80C0808000000000 
00000000060E0000 E080800000000000 1C14000000000000 0000203C00000000 004040C080000000 0000000000E0E000 00080E0200000000 0000000078100000 
000000000C1C0000 008080E000000000 000C080C00000000 0000060202020000 0000001030202000 00000000C0C0C000 C040600000000000 3C10000000000000 
0000001838000000 008080E000000000 00000000C080C000 3C04000000000000 00180E0000000000 0000000606060000 C040600000000000 0000000000782000 
0000000000C0E000 0000002020380000 0C040C0000000000 0000020202060000 7018000000000000 0000001C1C000000 00006040C0000000 80C0808000000000 
0000000000C0E000 008080E000000000 0000001808180000 3C04000000000000 00180E0000000000 0000000606060000 C040600000000000 00000000F0200000 
0000000000C0E000 E080800000000000 1C14000000000000 00000000021E0000 004040C080000000 0000001C1C000000 00080E0200000000 0000202060200000 
00000000181C0000 1C04040000000000 6040600000000000 808080C000000000 00000030E0000000 0000000000E0E000 0018080C00000000 0000020206020000 
0000000060700000 000000008080E000 0000060206000000 3C04000000000000 00000000180E0000 C0C0C00000000000 0018080C00000000 000020F000000000 
00C0E00000000000 0008083800000000 0000000602060000 F010000000000000 000000000030E000 000000C0C0C00000 0C04060000000000 000000003C080000 
00C0E00000000000 000000E080800000 0000000C080C0000 F010000000000000 000000000030E000 0C0C0C0000000000 0000001070400000 0000020206020000 
00C0E00000000000 000000E080800000 0000000C080C0000 F010000000000000 0000001010302000 0C0C0C0000000000 000000006040C000 0000020206020000 
0000000038180000 000000008080E000 0000283800000000 0000404040600000 7018000000000000 0000000606060000 0C04060000000000 80C0808000000000 
0000000000706000 00000000E0808000 0000060206000000 3C04000000000000 00000000180E0000 C0C0C00000000000 0018080C00000000 000020F000000000 
0000007060000000 8080E00000000000 7050000000000000 0008080818000000 0000000000386000 0000000606060000 0C04060000000000 0000008080C08000 
E0C0000000000000 000004041C000000 0000283800000000 0000020202060000 0000000000386000 1C1C000000000000 0000C04060000000 0000008080C08000 
E0C0000000000000 000000008080E000 1C14000000000000 0000060202020000 0008080C04000000 0000E0E000000000 0000001070400000 00000000083C0000 
E0C0000000000000 000000008080E000 0000000602060000 0000000040780000 1018080800000000 0000E0E000000000 0C04060000000000 000000103C000000 
0000000206060000 8080E00000000000 7050000000000000 000000F080000000 0000000070180000 0000000000E0E000 0C04060000000000 0008080C08000000 
0000000206060000 8080E00000000000 7050000000000000 0808081800000000 000000000030E000 000000C0C0C00000 0000002038080000 0404060400000000 
0000000206060000 8080E00000000000 7050000000000000 0808081800000000 000000E030000000 00000000C0C0C000 0000000008382000 0404060400000000 
0000000206060000 8080E00000000000 0018081800000000 7840000000000000 000000000030E000 000000C0C0C00000 0000002038080000 0404060400000000 
0000000206060000 8080E00000000000 0018081800000000 7840000000000000 000000E030000000 00000000C0C0C000 0000000008382000 0404060400000000 
0000206060000000 000000008080E000 7050000000000000 0000000008780000 0008081810000000 0000000606060000 0C04060000000000 8080C08000000000 
0000000080C0C000 00000002020E0000 6040600000000000 808080C000000000 00000E1800000000 1C1C000000000000 000000041C100000 0000002060202000 
0000000080C0C000 00000002020E0000 6040600000000000 808080C000000000 0000081810100000 1C1C000000000000 000006040C000000 0000002060202000 
0000203030000000 000000008080E000 0000000E0A000000 3C04000000000000 00180E0000000000 C0C0C00000000000 000000C040600000 00000000041E0000 
0040606000000000 E080800000000000 1C14000000000000 00000080F0000000 0000001C06000000 0000000000E0E000 00080E0200000000 00000000081E0000 
0080C0C000000000 00002020E0000000 0018081800000000 00000000021E0000 000000061C000000 0000000000E0E000 0C04060000000000 F040000000000000 
0000000606020000 8080E00000000000 7050000000000000 00000000003C2000 000000E030000000 00000000C0C0C000 0C04060000000000 0008081808000000 
00C0C04000000000 0008080E00000000 0000000060206000 F010000000000000 0000203010100000 000000000E0E0000 0C04060000000000 0000008080C08000 
0C0C040000000000 8080E00000000000 7050000000000000 000000808080C000 0000004040602000 000000001C1C0000 0000083820000000 0000020602020000 
0C0C040000000000 8080E00000000000 7050000000000000 000000C080808000 000008080C040000 0000000060606000 0000003010180000 0000020602020000 
C0C0400000000000 000000008080E000 0000A0E000000000 0000020202060000 000000000C380000 000C0C0C00000000 0000001070400000 3C10000000000000 
C0C0400000000000 000000008080E000 0000A0E000000000 0000020202060000 000004040C080000 0000000070700000 000C081800000000 3C10000000000000 
0000000030302000 008080E000000000 000000000A0E0000 3C04000000000000 00180E0000000000 00000000C0C0C000 C040600000000000 0000001E04000000 
00000000C0C08000 8080E00000000000 7050000000000000 0008080818000000 0000000000386000 0000000606060000 0C04060000000000 000000F020000000 
0000060604000000 000000008080E000 000000000A0E0000 808080C000000000 4040602000000000 0000000070700000 000C081800000000 3C10000000000000 
