000000000060E000 008080E000000000 0000001808180000 00000000F0800000 0018700000000000 0000000606060000 0C04060000000000 F040000000000000 
0C1C000000000000 0000101070000000 000000C080C00000 0000060202020000 000000000030E000 0000000C0C0C0000 0080E02000000000 F040000000000000 
0000000000C0E000 0000101070000000 000C040C00000000 0000020202060000 000000000C380000 C0C0C00000000000 000020E080000000 3C10000000000000 
0000000000C0E000 000010101C000000 000C040C00000000 0000020202060000 0000000060380000 C0C0C00000000000 000020E080000000 3C10000000000000 
0000000000C0E000 E080800000000000 0000001C14000000 0000060202020000 004040C080000000 1C1C000000000000 0000302060000000 00000000083C0000 
0000000000706000 E080800000000000 0000000C040C0000 0000060202020000 0000006038000000 1C1C000000000000 0040701000000000 00000080C0808000 
0000000000706000 E080800000000000 0000000C040C0000 0000060202020000 0040406020000000 1C1C000000000000 0000301018000000 00000080C0808000 
000000E0C0000000 8080E00000000000 0000060206000000 7840000000000000 0000001C30000000 0000000000E0E000 041C100000000000 00000000081E0000 
E0C0000000000000 000004041C000000 00000000C080C000 0000020202060000 0000701800000000 1C1C000000000000 000080E020000000 0000000000782000 
E0C0000000000000 1C04040000000000 00000000C080C000 0000020202060000 0018700000000000 0000001C1C000000 000080E020000000 0000000000782000 
E0C0000000000000 0000E08080000000 0000141C00000000 0000020202060000 000000000030E000 1C1C000000000000 0000006040C00000 000000003C080000 
0000000040C0C000 E080800000000000 0000000C040C0000 0000060202020000 004040C080000000 1C1C000000000000 0000301018000000 0000002020302000 
0000000206060000 8080E00000000000 0018101800000000 7840000000000000 000000000030E000 000000C0C0C00000 0000002038080000 0404060400000000 
0000000206060000 8080E00000000000 0018101800000000 7840000000000000 000000E030000000 00000000C0C0C000 0000000008382000 0404060400000000 
0000002060600000 000000008080E000 0000705000000000 00000000101E0000 7018000000000000 0000000E0E000000 0C04060000000000 80C0808000000000 
0000040C0C000000 E080800000000000 00000000C080C000 0000020202060000 000000E030000000 1C1C000000000000 0040701000000000 0000000000782000 
0000001018180000 000000008080E000 0050700000000000 C080808000000000 0004060202000000 0000006060600000 0000000C04060000 3C08000000000000 
0080C0C000000000 00002020E0000000 0018101800000000 00000000021E0000 000000061C000000 0000000000E0E000 0C04060000000000 F040000000000000 
0000000C0C040000 E080800000000000 00000000C080C000 0000060202020000 000000E030000000 1C1C000000000000 0040701000000000 0000000000782000 
000000C0C0400000 E080800000000000 0000000000A0E000 00000000101E0000 0040602020000000 0000000E0E000000 0C04060000000000 1018101000000000 
0000060602000000 E080800000000000 0000002838000000 000000808080C000 0000004040602000 1C1C000000000000 0040701000000000 00000000041E0000 
0000606020000000 000000008080E000 0000000050700000 0000101E00000000 7018000000000000 000000000E0E0000 0C04060000000000 80C0808000000000 
0C0C040000000000 000000008080E000 7050000000000000 0000020202060000 0000206040400000 0000000038380000 0000101C04000000 8080C08000000000 
0C0C040000000000 000000008080E000 0000000C080C0000 3010101000000000 0000202030100000 C0C0C00000000000 000000C040600000 0000020206020000 
00000000C0C08000 0000000E02020000 0000705000000000 0000002020206000 7018000000000000 000000001C1C0000 0C04060000000000 80C0808000000000 
