000000000060E000 00000002020E0000 0050700000000000 F080000000000000 0000003860000000 0C0C0C0000000000 000000041C100000 000080C080800000 
00000000060E0000 000000008080E000 0000000050700000 F010000000000000 00C0700000000000 0C0C0C0000000000 000080E020000000 0000001E08000000 
000000000C1C0000 008080E000000000 0000000000A0E000 3C04000000000000 0000040602020000 0018181800000000 C040600000000000 00000000F0400000 
000000000C1C0000 0000000E02020000 0C040C0000000000 808080C000000000 7018000000000000 0000000000E0E000 0040701000000000 00000020F0000000 
000000000C1C0000 0000000E02020000 0C040C0000000000 808080C000000000 7018000000000000 00000000C0C0C000 0040701000000000 0000002030202000 
000000000C1C0000 1C10100000000000 6040600000000000 808080C000000000 0000040602020000 0000000000E0E000 000C081800000000 00000020F0000000 
000000000C1C0000 1C10100000000000 6040600000000000 808080C000000000 0000040602020000 00000000C0C0C000 000C081800000000 0000002030202000 
0000000C1C000000 00000002020E0000 0C040C0000000000 808080C000000000 7018000000000000 00000000C0C0C000 0040701000000000 0000002020302000 
0C1C000000000000 00000002020E0000 0000000060406000 000000C080808000 000000001C300000 00001C1C00000000 0080E02000000000 F040000000000000 
0C1C000000000000 0000101070000000 000000C080C00000 00000C0808080000 000000000030E000 0000000606060000 0080E02000000000 F040000000000000 
0000000000C0E000 00000002020E0000 0C040C0000000000 00808080C0000000 0018700000000000 0000001C1C000000 0000006020300000 F040000000000000 
0000000000C0E000 0000000808380000 0C040C0000000000 808080C000000000 7018000000000000 0000000606060000 0040701000000000 00000020F0000000 
0000000000C0E000 008080E000000000 00141C0000000000 0000001E10000000 00000000E0300000 000000000E0E0000 C040600000000000 3C08000000000000 
0000000000C0E000 8080E00000000000 7050000000000000 00000000021E0000 000000061C000000 0C0C0C0000000000 00000080E0200000 0000107800000000 
0000000000C0E000 8080E00000000000 7050000000000000 0404040600000000 0808181000000000 000000E0E0000000 000000080E020000 00000000103C0000 
0000000000C0E000 1C04040000000000 6040600000000000 808080C000000000 00000000E0300000 0000000606060000 0018103000000000 0000080818080000 
0000000000C0E000 E080800000000000 1C14000000000000 000808080C000000 0000040602020000 000000E0E0000000 0040701000000000 00000000103C0000 
000000000C0E0000 000000008080E000 00141C0000000000 0000001E02000000 0000202030100000 C0C0C00000000000 000000C040600000 3C08000000000000 
0000003038000000 000000008080E000 3010300000000000 0C08080800000000 0004040602000000 C0C0C00000000000 000000C040600000 00000000041E0000 
00181C0000000000 000000008080E000 000000000A0E0000 3C04000000000000 0000202030100000 C0C0C00000000000 000000C040600000 0000001E04000000 
00181C0000000000 000000008080E000 0000003828000000 3C04000000000000 008080C040000000 0000000606060000 C040600000000000 0000000010780000 
00181C0000000000 008080E000000000 0000000E0A000000 3C04000000000000 0000001030202000 00000000C0C0C000 C040600000000000 00000000041E0000 
00C0E00000000000 00000002020E0000 000000C080C00000 F010000000000000 000000000030E000 0C0C0C0000000000 0000101C04000000 0000002078000000 
000000000E060000 00008080E0000000 0000001810180000 0404040600000000 80C0404000000000 0000000000E0E000 0008382000000000 7810000000000000 
000000000E060000 0000382020000000 0000001810180000 000000808080C000 0000004040602000 C0C0C00000000000 000C040600000000 3C10000000000000 
000000001C0C0000 0000000E02020000 0C040C0000000000 808080C000000000 7018000000000000 00000000C0C0C000 0040701000000000 0000002020302000 
