00000000060E0000 E080800000000000 0C040C0000000000 00404040C0000000 0000202030100000 0000000000E0E000 0000020E08000000 1018101000000000 
0000000000C0E000 8080E00000000000 7050000000000000 0000020202060000 00000070C0000000 0000000038380000 0C08180000000000 0004040C04000000 
00C0E00000000000 000000008080E000 0000000E0A000000 F010000000000000 0008181010000000 0000006060600000 0C04060000000000 00000000041E0000 
00C0E00000000000 000000008080E000 0000001C14000000 F010000000000000 0004060202000000 0000006060600000 0C08180000000000 00000000081E0000 
000000000E060000 000000008080E000 7050000000000000 0000021E00000000 8080C04000000000 0C0C0C0000000000 0000302060000000 0000000010780000 
0000000038180000 8080E00000000000 7050000000000000 0000020202060000 00000070C0000000 0000000000E0E000 0C08180000000000 0004040C04000000 
0000000E06000000 8080E00000000000 7050000000000000 0000006020202000 0008181010000000 00000000C0C0C000 0C04060000000000 00000000081E0000 
0000001C0C000000 000000008080E000 7050000000000000 0000020202060000 8080C04000000000 0C0C0C0000000000 0000302060000000 0000000010780000 
0000007030000000 8080E00000000000 7050000000000000 00000000003C2000 0004040C08000000 00000000C0C0C000 0C08180000000000 0000020206020000 
1C0C000000000000 E080800000000000 0000001C14000000 0000020202060000 0040406020000000 00000000C0C0C000 0000000008382000 00103C0000000000 
000000001C180000 000000008080E000 0000000602060000 0000202020600000 0080C04040000000 0018181800000000 0C04060000000000 F040000000000000 
0000000070600000 000000008080E000 0000283800000000 7840000000000000 8080C04000000000 0000060606000000 041C100000000000 00000000081E0000 
0000001C18000000 8080E00000000000 7050000000000000 0000006020202000 0004060202000000 00000000C0C0C000 0C08180000000000 00000000041E0000 
1C18000000000000 E080800000000000 00000000141C0000 0000006020202000 00040C0808000000 00000000C0C0C000 0040701000000000 0000020602020000 
1C18000000000000 E080800000000000 0000000C080C0000 00404040C0000000 0000202030100000 0000000000E0E000 00041C1000000000 0000020206020000 
E0C0000000000000 000000008080E000 0000000050700000 0000020202060000 000004040C080000 1C1C000000000000 0000083820000000 0000F04000000000 
E0C0000000000000 000000008080E000 0000005070000000 0000000008780000 1018080800000000 0000000606060000 0C04060000000000 0000F02000000000 
E0C0000000000000 0008080E00000000 0000C040C0000000 00000000021E0000 1010302000000000 0000000000E0E000 0C04060000000000 000000103C000000 
E0C0000000000000 00000E0202000000 00000000C080C000 0000F01000000000 0000006038000000 1C1C000000000000 0000000C04060000 0000000000782000 
0000000206060000 00002020E0000000 7050000000000000 0000101010180000 8080C04000000000 0000000000E0E000 0C04060000000000 0008080C08000000 
0000000206060000 000000008080E000 7050000000000000 0000000040780000 8080C04000000000 0000303030000000 0C04060000000000 0008080C08000000 
040C0C0000000000 E080800000000000 00000000C080C000 0000020202060000 0040406020000000 0000001C1C000000 1810300000000000 0000000000782000 
0000000080C0C000 0008080E00000000 7050000000000000 0000301010100000 8080C04000000000 000000000E0E0000 0C04060000000000 0000002060202000 
0000000080C0C000 8080E00000000000 7050000000000000 00000000003C2000 0000000C38000000 0C0C0C0000000000 0000107040000000 0000020206020000 
0000000080C0C000 8080E00000000000 7050000000000000 00000000003C2000 0004040C08000000 0000007070000000 0C08180000000000 0000020206020000 
0000000080C0C000 E080800000000000 0000301030000000 0000060202020000 0000080C04040000 1C1C000000000000 0000000008382000 0040406040000000 
